name,ring,quadrant,isNew,description
"lodash",adopt,NPM Packages,false,"<a href='https://github.com/lodash/lodash'>Lodash</a> is a multi-purpose utility library for JavaScript."
"moment",adopt,NPM Packages,false,"<a href='https://github.com/moment/moment'>Moment</a> is a library for parsing, validating, manipulating, and formatting dates."
"numeral",adopt,NPM Packages,false,"<a href='http://numeraljs.com/'>Numeral</a> is a Javascript library for formatting and manipulating numbers."
"highcharts",adopt,NPM Packages,false,"<a href='https://www.highcharts.com/'>Highcharts</a> is a commercial Javascript charting library, used heavily in SQL Monitor."
"underscore",endure,NPM Packages,false,"<a href='https://github.com/jashkenas/underscore'>Underscore</a> is a multi-purpose utility library for Javascript. We prefer lodash."
"day.js",explore,NPM Packages,false,"<a href='https://github.com/iamkun/dayjs'>Day.js</a> is a trivially-small date library, and an alternative to moment.js. Being explored by CoreDev."
"Monaco Editor",explore,NPM Packages,true,"<a href='https://microsoft.github.io/monaco-editor/'>Monaco</a> is the editor behind VS Code, available as a library for applications. It provides a code editor with completion/highlighting and a diff viewer. Currently being explored by Team Orca for editing/viewing migration scripts."
"jscookie",adopt,NPM Packages,false,"<a href='https://github.com/js-cookie/js-cookie'>Jscookie</a> is a lightweight JavaScript API for handling browser cookies."
"fetch",adopt,NPM Packages,false,"<a href='https://github.com/github/fetch'>Fetch</a> enables use of the <a href='https://fetch.spec.whatwg.org/'>fetch standard</a> for request/response inside a web browser."
"axios",endure,NPM Packages,false,"<a href='https://github.com/axios/axios'>Axios</a> is a promise-based HTTP client. We only use this when there is a requirement to support IE9/10."
"CommandLineParser",explore,Public NuGet,false,"CommandLineParser is a more modern commandline parser, which makes it easy to split a commandline up into multiple 'verbs'. Currently being explored by Team Orca."
"RedGate.Legacy.CommandLine",endure,Redgate NuGet,false,"RedGate.Legacy.CommandLine is the old commandline parsing logic split out of Shared Utils. It's still used by a few products, but better libraries should be used for new development"
"A placeholder",explore,other,false,"A placeholder so we have 4 quadrants"
"Dapper",adopt,Public NuGet,false,"<a href='https://github.com/StackExchange/Dapper'>Dapper</a> is a .Net object mapper that extends IDbConnection. It has no database-specific implementation details."
"Hangfire",explore,Public NuGet,false,"<a href='https://www.hangfire.io/'>Hangfire</a> is a library to perform background processing in .NET and .NET Core applications."
"Autofac",adopt,Public NuGet,false,"Autofac is an Inversion of Control container for .NET Core, ASP.NET Core, .NET 4.5.1+ and our preferred IoC container choice. Autofac allows you to register components and express dependencies through its flexible module system and simple extension points."
"Ninject",adopt,Public NuGet,false,"Ninject is a dependency injector for .NET applications. However, Autofac is our preferred IoC container."
"FsCheck",adopt,Public NuGet,false,"<a href='https://fscheck.github.io/FsCheck/'>FsCheck</a> is a framework for property-based testing."
"NSubsitute",adopt,Public NuGet,false,"NSubstitute is our default mocking library of choice. We feel it's got less setup cost than Moq and requires fewer .Object calls."
"Moq",endure,Public NuGet,false,"Moq is a great framework for mocking, but we prefer NSubstitute's simplicity. We see no benefit in having a common mocking framework across solutions."
"SeriLog",adopt,Public NuGet,false,"Serilog is our preferred logging framework. It's well maintained, supports structured event data and is portable between .NET platforms."
"SignalR",adopt,Public NuGet,false,"SignalR allows server code to send asynchronous notifications to client-side web applications."
"Knockout.js",endure,Public NuGet,false,"Knockout is a minimilast library for binding data to web views. We prefer React now though existing usages of knockout.js are fine."
"JQuery",endure,Public NuGet,false,"Modern browsers and advances in JavaScript means we don't get value by using jQuery any more."
"RedGate.Legacy.*",endure,Redgate NuGet,false,"We have a collection of old technologies in the 'RedGate.Legacy' packages, as the name suggests these are old and should not be adopted. But moving away from them can be expensive so we don't think its worth the cost."
"DotNetZip",retire,Public NuGet,false,"<a href='https://github.com/haf/DotNetZip.Semverd'>DotNetZip</a> is an opensource .NET library for handling ZIP files. We prefer the capabilities provided by the .Net framework in System.IO.Compression."
"7Zip",endure,Public NuGet,false,"<a href='https://www.7-zip.org/'>7Zip</a> is an open source file archiver and compression tool. We prefer the capabilities provided by the .Net framework in System.IO.Compression."
"System.IO.Compression",adopt,Public NuGet,false,"System.IO.Compression is the .Net Framework/Core provided set of compression and decompression services for streams."
"NSwag",explore,Public NuGet,false,"An implementation of the Open API specification currently being explored by the Data Catalog team."
"Swashbuckle",explore,Public NuGet,false,"An implementation of the Open API specification currently being explored by the Versioning teams for providing the out-of-process APIs."
"FluentAssertions",adopt,Public NuGet,false,"<a href='https://fluentassertions.com'>FluentAssertions</a> is an assertion framework that allow you to more naturally specify the expected outcome of a TDD or BDD-style unit tests. Much more readable than Assert.That()."
"Shoudly",endure,Public NuGet,false,"<a href='https://shouldly.readthedocs.io/en/latest/'>Shouldly</a> is an assertion framework similar to FluentAssertions. We decided to adopt the latter."
"Task Parallel Library (TPL)",retire,Public NuGet,false,"The <a href='https://docs.microsoft.com/en-us/dotnet/standard/parallel-programming/task-parallel-library-tpl'>Task Parallel Library (TPL)</a> is a System.Threading a backport library for .NET Framework 3.5. Since we should be adopting .Net Framework 4.7+/.Net Core everywhere, there is no a need for TPL as an extra dependency."
"Rhino Mocks",endure,Public NuGet,false,"Rhino Mocks is no longer actively maintained, nor does it support .NET Core / .NET Standard. We have some tests that use RhinoMocks. While we shouldn't write any more, we have no plans to actively replace these uses."
"Log4Net",endure,Public NuGet,false,"Log4Net is no longer actively maintained. We've also had problems with our use of it by having a single static root. We don't recommend this for new applications, but can tolerate existing usages."
"NetArchTest",explore,Public NuGet,true,"The <a href='https://github.com/BenMorris/NetArchTest'>NetArchTest</a> is a fluent API for .NET that can enforce architectural rules in unit tests. Currently explored by the Data Catalog team."
